2017-04-07-23-31,90
2017-04-07-23-32,52
2017-04-07-23-43,114
2017-04-07-23-44,58
2017-04-07-23-47,124
2017-04-07-23-48,149
2017-04-07-23-49,169
2017-04-07-23-50,156
2017-04-07-23-51,147
2017-04-07-23-52,167
2017-04-07-23-53,183
2017-04-07-23-54,185
2017-04-07-23-55,136
2017-04-07-23-56,167
2017-04-07-23-57,158
2017-04-07-23-58,107
2017-04-07-23-59,124
2017-04-08-00-00,191
2017-04-08-00-01,190
2017-04-08-00-02,169
2017-04-08-00-03,186
2017-04-08-00-04,168
2017-04-08-00-05,114
2017-04-08-00-06,141
2017-04-08-00-07,145
2017-04-08-00-08,176
2017-04-08-00-09,190
2017-04-08-00-10,137
2017-04-08-00-11,158
2017-04-08-00-12,143
2017-04-08-00-13,152
2017-04-08-00-14,133
2017-04-08-00-15,156
2017-04-08-00-16,162
2017-04-08-00-17,160
2017-04-08-00-18,128
2017-04-08-00-19,172
2017-04-08-00-20,145
2017-04-08-00-21,162
2017-04-08-00-22,171
2017-04-08-00-23,138
2017-04-08-00-24,171
2017-04-08-00-25,118
2017-04-08-00-26,122
2017-04-08-00-27,137
2017-04-08-00-28,141
2017-04-08-00-29,146
2017-04-08-00-30,126
2017-04-08-00-31,154
2017-04-08-00-32,157
2017-04-08-00-33,153
2017-04-08-00-34,157
2017-04-08-00-35,241
2017-04-08-00-36,143
2017-04-08-00-37,170
2017-04-08-00-38,127
2017-04-08-00-39,118
2017-04-08-00-40,122
2017-04-08-00-41,201
2017-04-08-00-42,181
2017-04-08-00-43,207
2017-04-08-00-44,191
2017-04-08-00-45,146
2017-04-08-00-46,150
2017-04-08-00-47,160
2017-04-08-00-48,187
2017-04-08-00-49,226
2017-04-08-00-50,141
2017-04-08-00-51,147
2017-04-08-00-52,140
2017-04-08-00-53,161
2017-04-08-00-54,160
2017-04-08-00-55,140
2017-04-08-00-56,178
2017-04-08-00-57,171
2017-04-08-00-58,152
2017-04-08-00-59,170
2017-04-08-01-00,292
2017-04-08-01-01,216
2017-04-08-01-02,193
2017-04-08-01-03,150
2017-04-08-01-04,154
2017-04-08-01-05,170
2017-04-08-01-06,184
2017-04-08-01-07,145
2017-04-08-01-08,111
2017-04-08-01-09,130
2017-04-08-01-10,162
2017-04-08-01-11,180
2017-04-08-01-12,151
2017-04-08-01-13,174
2017-04-08-01-14,220
2017-04-08-01-15,191
2017-04-08-01-16,131
2017-04-08-01-17,157
2017-04-08-01-18,155
2017-04-08-01-19,170
2017-04-08-01-20,172
2017-04-08-01-21,140
2017-04-08-01-22,163
2017-04-08-01-23,177
2017-04-08-01-24,156
2017-04-08-01-25,187
2017-04-08-01-26,146
2017-04-08-01-27,130
2017-04-08-01-28,155
2017-04-08-01-29,136
2017-04-08-01-30,234
2017-04-08-01-31,136
2017-04-08-01-32,167
2017-04-08-01-33,195
2017-04-08-01-34,167
2017-04-08-01-35,128
2017-04-08-01-36,155
2017-04-08-01-37,148
2017-04-08-01-38,182
2017-04-08-01-39,183
2017-04-08-01-40,190
2017-04-08-01-41,167
2017-04-08-01-42,184
2017-04-08-01-43,172
2017-04-08-01-44,174
2017-04-08-01-45,170
2017-04-08-01-46,133
2017-04-08-01-47,160
2017-04-08-01-48,124
2017-04-08-01-49,197
2017-04-08-01-50,195
2017-04-08-01-51,168
2017-04-08-01-52,162
2017-04-08-01-53,117
2017-04-08-01-54,130
2017-04-08-01-55,158
2017-04-08-01-56,123
2017-04-08-01-57,165
2017-04-08-01-58,151
2017-04-08-01-59,159
2017-04-08-02-00,140
2017-04-08-02-01,207
2017-04-08-02-02,179
2017-04-08-02-03,159
2017-04-08-02-04,203
2017-04-08-02-05,196
2017-04-08-02-06,155
2017-04-08-02-07,117
2017-04-08-02-08,182
2017-04-08-02-09,196
2017-04-08-02-10,162
2017-04-08-02-11,123
2017-04-08-02-12,133
2017-04-08-02-13,195
2017-04-08-02-14,136
2017-04-08-02-15,141
2017-04-08-02-16,198
2017-04-08-02-17,124
2017-04-08-02-18,155
2017-04-08-02-19,154
2017-04-08-02-20,188
2017-04-08-02-21,201
2017-04-08-02-22,152
2017-04-08-02-23,120
2017-04-08-02-24,175
2017-04-08-02-25,166
2017-04-08-02-26,197
2017-04-08-02-27,158
2017-04-08-02-28,142
2017-04-08-02-29,106
2017-04-08-02-30,156
2017-04-08-02-31,204
2017-04-08-02-32,197
2017-04-08-02-33,132
2017-04-08-02-34,155
2017-04-08-02-35,194
2017-04-08-02-36,120
2017-04-08-02-37,138
2017-04-08-02-38,161
2017-04-08-02-39,250
2017-04-08-02-40,167
2017-04-08-02-41,127
2017-04-08-02-42,141
2017-04-08-02-43,143
2017-04-08-02-44,144
2017-04-08-02-45,138
2017-04-08-02-46,137
2017-04-08-02-47,163
2017-04-08-02-48,111
2017-04-08-02-49,172
2017-04-08-02-50,125
2017-04-08-02-51,174
2017-04-08-02-52,169
2017-04-08-02-53,159
2017-04-08-02-54,194
2017-04-08-02-55,213
2017-04-08-02-56,141
2017-04-08-02-57,164
2017-04-08-02-58,167
2017-04-08-02-59,173
2017-04-08-03-00,246
2017-04-08-03-01,144
2017-04-08-03-02,198
2017-04-08-03-03,148
2017-04-08-03-04,179
2017-04-08-03-05,179
2017-04-08-03-06,150
2017-04-08-03-07,127
2017-04-08-03-08,149
2017-04-08-03-09,200
2017-04-08-03-10,159
2017-04-08-03-11,132
2017-04-08-03-12,202
2017-04-08-03-13,184
2017-04-08-03-14,131
2017-04-08-03-15,140
2017-04-08-03-16,145
2017-04-08-03-17,141
2017-04-08-03-18,185
2017-04-08-03-19,1535
2017-04-08-03-20,395
2017-04-08-03-21,304
2017-04-08-03-22,265
2017-04-08-03-23,232
2017-04-08-03-24,251
2017-04-08-03-25,164
2017-04-08-03-26,210
2017-04-08-03-27,192
2017-04-08-03-28,150
2017-04-08-03-29,211
2017-04-08-03-30,141
2017-04-08-03-31,179
2017-04-08-03-32,184
2017-04-08-03-33,163
2017-04-08-03-34,235
2017-04-08-03-35,169
2017-04-08-03-36,137
2017-04-08-03-37,162
2017-04-08-03-38,214
2017-04-08-03-39,164
2017-04-08-03-40,181
2017-04-08-03-41,136
2017-04-08-03-42,162
2017-04-08-03-43,134
2017-04-08-03-44,132
2017-04-08-03-45,160
2017-04-08-03-46,200
2017-04-08-03-47,140
2017-04-08-03-48,132
2017-04-08-03-49,134
2017-04-08-03-50,120
2017-04-08-03-51,138
2017-04-08-03-52,124
2017-04-08-03-53,147
2017-04-08-03-54,241
2017-04-08-03-55,121
2017-04-08-03-56,128
2017-04-08-03-57,130
2017-04-08-03-58,112
2017-04-08-03-59,145
2017-04-08-04-00,160
2017-04-08-04-01,178
2017-04-08-04-02,140
2017-04-08-04-03,136
2017-04-08-04-04,218
2017-04-08-04-05,158
2017-04-08-04-06,110
2017-04-08-04-07,111
2017-04-08-04-08,131
2017-04-08-04-09,132
2017-04-08-04-10,136
2017-04-08-04-11,131
2017-04-08-04-12,118
2017-04-08-04-13,123
2017-04-08-04-14,133
2017-04-08-04-15,97
2017-04-08-04-16,134
2017-04-08-04-17,120
2017-04-08-04-18,154
2017-04-08-04-19,156
2017-04-08-04-20,137
2017-04-08-04-21,132
2017-04-08-04-22,97
